source_file,inst_id,en,zh_corrected,zh,mbart,m2m-100,opus,taiyi,mmed-llama,,,,,,
HEADERS,-,Inclusion Criteria,纳入标准,纳入标准,包括标准,融入标准,包容标准,1. 临床诊断为原发性肾小球肾炎。2. 临床表现为肾病综合征。3. 临床表现为肾炎综合征。4. 临床表现为急性肾炎综合征。5. 临床表现为急进性肾炎综合征。6. 临床表现为慢性肾炎综合征。7. 临床表现为肾病综合征。8. 临床表现为肾炎综合征。9. 临床表现为急性肾炎综合征。10. 临床表现为急进性肾炎综合征。11. 临床表现为慢性肾炎综合征。12. 临床表现为肾病综合征。13. 临床表现为肾炎综合征。14. 临床表现为急性肾炎综合征。15. 临床表现为急进性肾炎综合征。16. 临床表现为慢性肾炎综合征。17. 临床表现为肾病综合征。18. 临床表现为肾炎综合征。19. 临床表现为急性肾炎综合征。20. 临床表现为急进性肾炎综合征。21. 临床表现为慢性肾炎综合征。22. 临床表现为肾病综合征。23. 临床表现为肾炎综合征。24. 临床表现为急性肾炎综合征。25. 临床表现为急进性肾炎综合征。26. 临床表现为慢性肾炎综合征。27. 临床表现为肾病综合征。28. 临床表现为肾炎综合征。29. 临床表现为急性肾炎综合征。30. 临床表现为急进性肾炎综合征。31. 临床表现为慢性肾炎综合征。32. 临床表现为肾病综合征。33. 临床表现为肾炎综合征。34. 临床表现为急性肾炎综合征。35. 临床表现为急进性肾炎综合征。36. 临床表现为慢性肾炎综合征。37. 临床表现为肾病综合征。38. 临床表现为肾炎综合征。39. 临床表现为急性肾炎综合征。40. 临床表现为急进性肾炎综合征。41. 临床表现为慢性肾炎综合征。42. 临床表现为肾病综合征。43. 临床表现为肾炎综合征。44. 临床表现为急性肾炎综合征。45. 临床表现为急进性肾炎综合征。46. 临床表现为慢性肾炎,,,,,,,
,,,,,,,,,,,,,,,
HEADERS,-,INTERVENTION 1,干预措施1,干预措施1,干预1,干预一,间断 1,干预1,,,,,,,
,,,,,,,,,,,,,,,
HEADERS,-,Exclusion Criteria,排除标准,排除标准,排斥标准,排除标准,排除标准,排除标准,,,,,,,
,,,,,,,,,,,,,,,
HEADERS,-,Outcome Measurement,测量指标,测量指标,结果测量,测量结果,成果衡量,临床疗效观察,,,,,,,
,,,,,,,,,,,,,,,
HEADERS,-,Results 1,结果1,结果1,结果1,结果一,成果1,结果,,,,,,,
,,,,,,,,,,,,,,,
HEADERS,-,Adverse Events 1,不良事件1,不良事件1,不良事件1,意外事件一,负面活动1,药物不良反应,,,,,,,
,,,,,,,,,,,,,,,
NCT00003199.json,-,See Detailed Description.,见详细描述,见详细描述,詳細描述。,详细的描述。,见《详细说明》。,见详细说明,,,,,,,
,,,,,,,,,,,,,,,
NCT00003199.json,-,busulfan: Given orally,白消安：口服,白消安：口服,布苏尔凡:口服,口服:口服,口服和口服,口服硫尿嘧啶,,,,,,,
,,,,,,,,,,,,,,,
NCT00003199.json,-,aldesleukin: Given SC,阿地白介素：皮下注射,阿地白介素：皮下注射,阿尔德斯鲁金:根据SC,主持人:Given SC,alddesleukin: 给定SC,aldesleukin：皮下注射,,,,,,,
,,,,,,,,,,,,,,,
NCT00003199.json,-,Patients should have received 4-7 cycles of an Adriamycin and/or taxane-based regimen for stage IIIb or stage IV disease locally recurrent (chest wall/axillary nodes) patients rendered NED by RT or surgery do not need to receive chemotherapy for stage IV disease prior to Cytoxan/Taxol,患者应接受4-7个周期的阿霉素和/或紫杉醇基方案治疗，用于治疗IIIb期或IV期疾病的局部复发（胸壁/腋窝结节）患者。经放疗或手术达到无证据病变（NED）的患者，无需在接受环磷酰胺/紫杉醇治疗前接受IV期疾病的化疗,患者应接受4-7个周期的阿霉素和/或紫杉醇基方案治疗，用于治疗IIIb期或IV期疾病的局部复发（胸壁/腋窝结节）患者。经放疗或手术达到无证据病变（NED）的患者，无需在接受环磷酰胺/紫杉醇治疗前接受IV期疾病的化疗,病人应接受4-7个周期的Adriamycin和/或以 taxane为基础的疗法治疗IIIb或IV期疾病,局部复发的病人(胸壁/轴线节点)在细胞毒素/酶素之前不需要接受IV期疾病的化学疗法,"患者应该接受4到7周期的亚德里亚米辛和/或基于 Taxane的疗法,以治疗IIIb阶段或IV阶段的疾病;本地复发的(胸墙/关节)患者通过RT或手术呈现NED,不需要在接受Cytoxan/Taxol之前接受IV阶段疾病的化疗。",对于局部复发(胸壁、腋窝)的Ⅲb期或Ⅳ期患者，接受过放疗或手术治疗后达到临床无瘤生存的，无需在进行顺铂或紫杉醇化疗前进行化疗。,,,,,,,
,,,,,,,,,,,,,,,
NCT00003199.json,-,SGOT =< 2.5 x upper limit of normal,SGOT <= 正常上限的2.5倍,天冬氨酸转氨酶 <= 正常上限的2.5倍,SGOT =<2.5 x 正常上限,SGOT = < 2.5 x 正常的上限,SGOT = 2.5x正常上限,SGOT≤2.5×ULN,,,,,,,
,,,,,,,,,,,,,,,
NCT00003199.json,-,Event-free survival of patients treated for inflammatory (Stage IIIb) and responsive stage IV breast cancer with BUMELTT and PBSC support and low dose immunotherapy with IL2 and GM-CSF.,使用BUMELTT和PBSC支持以及低剂量免疫治疗（IL2和GM-CSF）治疗炎症（IIIb期）和对治疗有反应的IV期乳腺癌患者的无事件存活,使用BUMELTT和PBSC支持以及低剂量免疫治疗（IL2和GM-CSF）治疗炎症（IIIb期）和对治疗有反应的IV期乳腺癌患者的无事件存活,治疗炎症性(IIIb期)和反应性IV期乳腺癌的 BUMELTT和PBSC支持和低剂量免疫治疗的IL2和GM-CSF患者无事件生存。,接受BUMELTT和PBSC支持和低剂量的IL2和GM-CSF免疫治疗的炎症(IIIb阶段)和响应的IV阶段乳腺癌的患者的无事件生存率。,"在BUMELTT和PBSC的支持下,接受过炎症(三乙级)和第四反应阶段乳腺癌治疗的病人无意外存活,通过IL2和GM-CSF进行低剂量免疫治疗。",Bumelrettin联合白细胞介素2和GM-CSF低剂量免疫治疗对Ⅲb期炎症反应性乳腺癌患者无病生存期的影响,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,6 cycles - q 28 days (6 months) - Cyclophosphamide 75 mg/m2 - po - Days 1-14 - Epirubicin 60 mg/m2 - IV - Days 1 and 8 - 5 Fluorouracil: 500mg/m2 - IV - Days 1 and 8 + Continuous Antibiotic Prophylaxis with Cotrimoxazole 960 mg (i.e.2x480 mg tablets) po-bid or Ciprofloxacin 500 mg _ po-bid,6个周期 - 每28天一次（6个月）- 环磷酰胺 75 mg/m2 - 口服 - 第1到14天 - 表阿霉素 60 mg/m2 - 静脉注射 - 第1天和第8天 - 5-氟尿嘧啶：500mg/m2 - 静脉注射 - 第1天和第8天 + 使用甲氧_啶 960 mg进行连续抗生素预防（即2x480 mg片剂）口服，每日两次 或 口服环丙沙星 500 mg ，每日两次,6个周期 - 每28天一次（6个月）- 环磷酰胺 75 mg/m2 - 口服 - 第1到14天 - 表阿霉素 60 mg/m2 - 静脉注射 - 第1天和第8天 - 5-氟尿嘧啶：500mg/m2 - 静脉注射 - 第1天和第8天 + 使用甲氧_啶 960 mg进行连续抗生素预防（即2x480 mg片剂）口服，每日两次 或 口服环丙沙星 500 mg ，每日两次,6 个 周期 - q 28 天 ( 6 个 月 ) - Cyclophosphamide 75 mg/m2 - po - 1-14 天 - Epirubicin 60 mg/m2 - IV - 1 和 8 - 5 天 Fluorouracil : 500 mg/m2 - IV - 1 和 8 天 + 持续 抗生素 预防 与 Cotrimoxazole 960 mg (即 2x480 mg 片 ) po-bid 或 Ciprofloxacin 500 mg - po-bid,6 周期 - q 28 天 (6 个月) - Cyclophosphamide 75 mg/m2 - po - 天 1-14 - Epirubicin 60 mg/m2 - IV - 天 1 和 8 - 5 Fluorouracil: 500mg/m2 - IV - 天 1 和 8 + 持续抗生素预防用 Cotrimoxazole 960 mg (i.e.2x480 mg 片) po-bid 或 Ciprofloxacin 500 mg - po-bid,"6-q 28天周期(6个月) - 75毫克/m2-po-1-14天 -- -- 60毫克/m2-四天 -- -- 第1天和第8天和第8天至第5天 -- -- 500毫克/m2-四天 -- -- 第1天和第8天 -- -- +连续抗生素预防剂,并配有科特里莫诺氧醇960毫克(即2x480毫克药片)",6周期 - q 28天(6个月) - 长春新碱75mg/m2 - po - 第1-14天 - 依托泊苷60mg/m2 - iv - 第1天和第8天 - 5氟尿嘧啶500mg/m2 - iv - 第1天和第8天 + 继续抗生素预防性治疗 - 口服复方新诺明960mg(即2x480mg片)bid或环丙沙星500mg _ po-bid,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,fluorouracil: 500mg/m2,氟尿嘧啶：500mg/m2,氟尿嘧啶：500mg/m2,氟尿酸:500mg/m2,紫外线:500mg/m2,氟聚氨:500毫克/平方米,氟尿嘧啶：500mg/m2,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,Arm 2: EC/T,方案2：EC/T,方案2：EC/T,武器2:EC/T,手臂2:EC / T,第2批:EC/T,EC/T方案,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,DISEASE CHARACTERISTICS,疾病特征,疾病特征,病变特点,疾病特征,疾病特性,疾病特征,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,"T0-4 (dermal involvement on pathology assessment only), N0-2, M0",T0-4（仅病理评估上的真皮侵犯），N0-2，M0,T0-4（仅病理评估上的真皮侵犯），N0-2，M0,"T0-4(只涉及病理评估),N0-2,M0","T0-4(仅在病理评估上涉及皮肤),N0-2,M0","T0-4(仅皮肤参与病理评估),N0-2,M0",病理评估时仅见皮损者、无淋巴结转移、无远处转移,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,No clinical T4 disease,无临床T4疾病,无临床T4疾病,没有临床T4病,没有临床 T4 疾病,无临床T4病,T4期临床无症状的,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,Axillary node positive,腋窝结节阳性,腋窝结节阳性,轴线节点正,积极的轴心节点,轴轴轴节点正阳性,腋窝淋巴结阳性,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,Pre- or postmenopausal,绝经前或绝经后,绝经前或绝经后,产前或产后,前或后更年期,绝经前或绝经后,在绝经前或绝经后,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,Hematopoietic,血液学,血液学,血流学,血液,心电图学,Hematopoietic stem cell transplantation,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,Biologic therapy,生物治疗,生物治疗,生物治疗,生物疗法,生物治疗,生物制剂治疗肿瘤的肿瘤生物治疗,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,Arm/Group Title: Arm 1: CEF,方案/组标题：方案1：CEF,方案/组标题：方案1：CEF,武器/团体名称:武器1:CEF,手臂/组名称:手臂1:CEF,Arm/组标题:Arm1:CEF,药物治疗方案：CEF,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,Febrile neutropenia 49/680 (7.21%),发热性中性粒细胞减少症 49/680（7.21%）,发热性中性粒细胞减少症 49/680（7.21%）,Febrile neutropenia 49/680 (7.21%),发烧性中微波尼亚 49/680 (7.21%),2月性肺炎 49/680(7.21%),发热性中性粒细胞减少症49例分析,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,Edema 0/688 (0.00%),水肿0/688 (0.00%),水肿0/688 (0.00%),血肿0/688(0.00%),肿瘤 0/688 (0.00%),乙型肝炎 0/688(0.00%),水肿0/688(0.00%),,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,Measure Type: Count of Participants,测量类型：参与者数量,测量类型：参与者数量,测量类型:参与者人数,活动类型:参与人数,计量类型:参与人数数,测量类型：计数,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,No recurrence: 560  79.9%,无复发：560 79.9%,无复发：560 79.9%,没有重复:56079.9%,无复发: 560 79.9%,无重复:560 79.9%,560例乳腺癌保乳术后复发情况分析,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,"Disease free survival was defined as the time from randomization to the time of recurrence of the primary disease. Local or nodal recurrence and metastatic disease were considered a recurrence of the primary tumour. Patients who had contralateral breast cancer or a second primary malignancy, or died from some cause other than disease were censored as relapse-free at the time of death. Patients who had not relapsed were censored at longest follow-up or at non-breast cancer death. As required, adjudication was used to assess reports of recurrence.",无疾病存活定义为从随机分组到原发病复发的时间。局部或淋巴结复发和转移性疾病被视为原发性肿瘤的复发。患有对侧乳腺癌或第二原发恶性肿瘤，或因疾病以外的原因死亡的患者，在死亡时被视为未复发。未复发的患者需要长期跟进复查以及在非乳腺癌死亡是检查。根据需要，使用审查来评估复发报告,无疾病存活定义为从随机分组到原发病复发的时间。局部或淋巴结复发和转移性疾病被视为原发性肿瘤的复发。患有对侧乳腺癌或第二原发恶性肿瘤，或因疾病以外的原因死亡的患者，在死亡时被视为未复发。未复发的患者需要长期跟进复查以及在非乳腺癌死亡是检查。根据需要，使用审查来评估复发报告,"无病存活是指从随机化到初级疾病复发的时间。局部或节点复发和转移性疾病被视为初级肿瘤的复发。有双侧乳腺癌或第二个初级恶性肿瘤的病人,或死于疾病以外的其他原因的病人,在死亡时被审查为无复发。未复发的病人,在最长的后续行动或非乳腺癌死亡时被审查为无复发的病人。如需要,采用裁决来评估复发报告。",无疾病生存被定义为从随机化到初级疾病复发时期的时间。本地或节点复发和转移性疾病被认为是初级肿瘤的复发。患有反面乳腺癌或第二次初级恶性疾病或死于疾病以外的任何原因的患者在死亡时被审查为无复发的患者。,"自由生存疾病被定义为从随机性到重发初级疾病的时间,局部或节点性复发和转移性疾病被视为主要肿瘤的复发;患乳腺癌或第二大恶性恶性肿瘤的病人,或因疾病以外的其他原因死亡的病人,在死亡时被检查为无复发者;未复发的病人,在最长时间的后续或非乳癌死亡时被检查;根据要求,裁决被用来评估复发报告。",无病生存期定义为随机分组至原发肿瘤复发的时间。局部或区域复发和远处转移均被认为是原发肿瘤复发。对侧乳腺癌、第二原发恶性肿瘤或死于非肿瘤原因的患者，死亡时被归为无病生存。无复发者，死亡时被归为无病生存。如需要，仲裁委员会将审查复发报告。,,,,,,,
,,,,,,,,,,,,,,,
NCT00014222.json,-,At least 30 days since prior investigational drugs,至少30天前使用过研究用药,至少30天前使用过研究用药,至少有30天前进行调查的药物,自先前调查药物后至少30天,至少自事先调查毒品起30天后,应至少在上一次研究药物试验后30天内进行试验。,,,,,,,
,,,,,,,,,,,,,,,
NCT00291135.json,-,pregnant or within twelve months of breast feeding/childbirth,怀孕或在哺乳/生育后的十二个月内,怀孕或在哺乳/生育后的十二个月内,怀孕或在母乳喂养/产后十二个月内,怀孕或母乳喂养或分娩后12个月内,或在母乳喂养/分娩后12个月内怀孕或,孕产妇或哺乳期妇女,,,,,,,
,,,,,,,,,,,,,,,
NCT00291135.json,-,Proliferation assessment by immunocytochemistry using Ki-67. Expressed as percent of cells staining positive for Ki-67.,使用Ki-67的免疫细胞化学进行增殖评估。表达为阳性染色细胞的百分比。,使用Ki-67的免疫细胞化学进行增殖评估。表达为阳性染色细胞的百分比。,"用Ki-67进行免疫细胞化学的扩散评估,表达为细胞染色的百分比对Ki-67阳性。","通过使用Ki67的免疫细胞化学来评估扩散,以基67阳性染色细胞的百分比表示。","使用Ki-67进行的免疫化学扩散评估表明,Ki-67的细胞染色呈阳性的细胞占该细胞的百分率。",细胞增殖的Ki-67免疫组化染色法细胞计数法,,,,,,,
,,,,,,,,,,,,,,,
NCT00291135.json,-,"Arm/Group Description: Letrozole, 2.5 mg daily for six months",方案/组描述：来曲唑，每日2.5 mg，持续六个月,方案/组描述：来曲唑，每日2.5 mg，持续六个月,"武器/组别说明: 氯唑,每日2.5毫克,为期6个月","手臂/组 描述: 莱特罗佐尔,每天 2.5 毫克六个月","Arm/Group 说明:Letrozole,6个月每天2.5毫克,每天2.5毫克",实验设计：本研究采用单盲随机对照试验，将100例绝经后晚期乳腺癌患者随机分为两组，每组50例。试验组为来曲唑治疗，每天2.5 mg，治疗6个月；对照组为安慰剂治疗。,,,,,,,
,,,,,,,,,,,,,,,
NCT00435409.json,-,Locally advanced or metastatic disease that can be measured. Patients with bone-only disease are also allowed to enter the study.,可测量的局部晚期或远端转移性疾病。也允许仅有骨病的患者进入研究。,可测量的局部晚期或远端转移性疾病。也允许仅有骨病的患者进入研究。,可以测定的局部先进或转移性疾病。只有骨骼疾病的病人也可进入研究。,"可测量的本地先进或转移性疾病,仅有骨骼疾病的患者也被允许参加研究。","地方先进或可测量的转移性疾病,也允许只有骨病的病人参加研究。",适用于局部晚期或转移性骨肿瘤患者的一线治疗方案。,,,,,,,
,,,,,,,,,,,,,,,
NCT00432172.json,-,Adequate hepatic function: total bilirubin <= 1x Upper Normal Limit (UNL).  Aspartate aminotransferase (AST) (SGOT) and Alanine aminotransferase (ALT) (SGPT) <= 2.5 x UNL.  alkaline phosphatase <= 2.5 x UNL.,肝功能充足：总胆红素 ≤ 正常上限的1倍。谷草转氨酶（AST）（SGOT）和谷丙转氨酶（ALT）（SGPT）≤ 正常上限的2.5倍。碱性磷酸酶 ≤ 正常上限的2.5倍,肝功能充足：总胆红素 ≤ 正常上限的1倍。谷草转氨酶（AST）（SGOT）和谷丙转氨酶（ALT）（SGPT）≤ 正常上限的2.5倍。碱性磷酸酶 ≤ 正常上限的2.5倍,充分的肝功能:总胆碱<=1倍以上正常限度(UNL),充足的肝功能:总 bilirubin <= 1x 正常上限 (UNL), 阿斯巴达氨基转移酶 (AST) (SGOT) 和 阿拉宁氨基转移酶 (ALT) (SGPT) <= 2.5 x UNL, 碱性磷酸酶 <= 2.5 x UNL。,适当的肝功能:总比里鲁本=1x最高正常限值(UNL),氨基转移酶(AST)(SGOT)和阿兰尼氨基转移酶(ALT)(SGPT)=2.5xUNL,碱磷酸酶=2.5xUNL。,肝功能正常：总胆红素值&lt,1.5倍正常上限（UNL），谷丙转氨酶（SGOT）和谷草转氨酶（SGPT）值&lt,2.5倍UNL，碱性磷酸酶值&lt,2.5倍UNL。
,,,,,,,,,,,,,,,
NCT00432172.json,-,"Performance status (Karnofsky index) >= 80 (ECOG 0,1).","功能状态（卡氏指数）>= 80 (ECOG 0,1).","表现状态（卡氏指数）>= 80 (ECOG 0,1).","性能状况(卡诺夫斯基指数)>=80(ECOG 0,1)。","绩效状态(卡诺夫斯基指数) >= 80(ECOG 0,1)。","业绩状况(Karnofsky指数) = 80 (ECOG 0,1)",肿瘤患者Karnofsky评分≥80分，体力状况ECOG评分0~1分。,,,,,,,
,,,,,,,,,,,,,,,
NCT00696072.json,Eligibility,Has measurable or evaluable-only disease,仅可测量或评估的疾病,仅可测量或评估的疾病,有可测或可评估的疾病,有可测量或仅可评估的疾病,患有可计量或可评价的单一疾病,可测量疾病,,,,,,,
,,,,,,,,,,,,,,,
NCT00696072.json,Eligibility,No AI therapy for >1 year without recurrence,超过1年未复发且未接受AI治疗,超过1年未复发且未接受AI治疗,"没有AI治疗超过1年,无复发",没有AI治疗 > 1年不复发,"在超过1年的一年中,无AI治疗,不再复发",1年以上未复发的,,,,,,,
,,,,,,,,,,,,,,,
NCT00696072.json,Results,Number of Participants With Clinical Benefit (CBR) and Number of Participants With CBR Having a Disease Free Interval (DFI) Greater Than 2 Years - Evaluable Population,临床效益参与者人数以及无瘤生存间隔期超过2年的临床效益参与者人数视作可评估人群,临床效益参与者人数以及无瘤生存间隔期超过2年的临床效益参与者人数视作可评估人群,获诊疗福利(CBR)及获诊疗福利(CBR)获无病间隔(DFI)超过2年参与者人数-可评估的人口,具有临床效益(CBR)的参与者数量和有超过2年的无疾病间隔(DFI)的CBR的参与者数量 - 可评估的人口,获得临床福利(CBR)的参加人数和在两年以上(可评价人口)患有无疾病间歇期(DFI)的参加人数,临床获益(CBR)及无病生存(DFI)≥2年患者比例——可评估人群,,,,,,,
,,,,,,,,,,,,,,,
NCT00696072.json,Results,"CBR=participants with complete response (CR) + participants with partial response (PR) + participants with stable disease (SD) for a length of time greater than, equal to 6 months. CR= Disappearance of all target lesions. No new lesions. PR= At least a 30% decrease in the sum of the longest diameter (LD) of target lesions taking as reference the baseline sum LD. SD= Neither sufficient shrinkage to qualify for PR nor sufficient increase to qualify for progressive disease (PD) taking as reference the smallest sum LD since the treatment started. Physical examination,radiological assessment, and bone scans (if applicable) were used to assess outcome.",CBR=完全缓解（CR）的参与者 + 部分缓解（PR）的参与者 + 稳定病情（SD）超过或等于6个月的参与者。CR=所有靶病变消失，无新病变。PR=以基线最长直径（LD）的总和为参考，靶病变最长直径总和至少减少30%。SD=既不足以达到PR的缩小，也不足以增加至进展性疾病（PD），以治疗开始后最小LD总和为参考。通过体格检查、放射学评估和（如适用）骨扫描来评估结果。,CBR=完全缓解（CR）的参与者 + 部分缓解（PR）的参与者 + 稳定病情（SD）超过或等于6个月的参与者。CR=所有靶病变消失，无新病变。PR=以基线最长直径（LD）的总和为参考，靶病变最长直径总和至少减少30%。SD=既不足以达到PR的缩小，也不足以增加至进展性疾病（PD），以治疗开始后最小LD总和为参考。通过体格检查、放射学评估和（如适用）骨扫描来评估结果。,"CBR=参与者有完全反应(CR) +参与者有部分反应(PR) +参与者有稳定的疾病(SD)超过6个月的时间。CR=所有目标病变消失。没有新的病变。PR=至少减少30%的目标病变最长直径(LD)的总数,以参考基线总数LD。SD=自治疗开始以来,既没有足够的缩小,也没有足够的增加,以参考最小的LD。","CBR = 完全响应(CR) + 部分响应(PR) + 持久疾病(SD)的参与者超过6个月,等于CBR = 所有目标病变的消失. 没有新病变. PR= 对目标病变最长直径(LD)的总和至少减少30%,以基准基准总数LD为参考。","CBR=完全响应(CR)+部分响应(PR)+参与者,部分响应(SD)的参与者,时间长于6个月;CR=所有目标损伤的消失;无新的损伤;PR=目标损伤最大直径(LD)总和至少减少30%,参照基准总和LD。SD=没有足够减缩以有资格获得PR,也没有足够增加以治疗开始以来最小的LD总和作为参考,来达到累进病(PD)的合格;物理检查、放射评估和骨扫描(如果适用)用于评估结果。",CBR=完全缓解(CR)+部分缓解(PR)+稳定病情(SD)。CR=所有靶病灶完全消失，无新病灶。PR=所有靶病灶的最长径(LD)较基线至少缩小30%。SD=所有靶病灶的LD较治疗开始时缩小，但未缩小到PR，且未增大到PD。,,,,,,,
,,,,,,,,,,,,,,,
NCT00696072.json,Results,Unit of Measure: participants  CBR (CR+PR+SD): 40,测量单位：参与者 CBR (CR+PR+SD): 40,测量单位：参与者 CBR (CR+PR+SD): 40,计量单位:参加者CBR(CR+PR+SD):40,测量单位:参与者CBR(CR+PR+SD): 40,CBR(CR+PR+SD):40,参与人数：40,,,,,,,
,,,,,,,,,,,,,,,
NCT00696072.json,Adverse Events,Cholelithiasis * 1/57 (1.75%),胆石症 * 1/57 (1.75%),胆结石 * 1/57 (1.75%),胆石病*1/57(1.75%),甲状腺炎 * 1/57 (1.75%),霍乱病* 1/57(1.75%),胆结石,,,,,,,
,,,,,,,,,,,,,,,
NCT00696072.json,Adverse Events,Coronary Insufficiency * 0/63 (0.00%),冠状动脉功能不全 * 0/63 (0.00%),冠状动脉功能不全 * 0/63 (0.00%),冠状缺血*0.63(0.00%),冠状衰竭 * 0/63 (0.00%),* 0/63(0.00%),冠状动脉供血不足,,,,,,,
,,,,,,,,,,,,,,,
NCT03015649.json,Intervention,"All study participants received the same treatment assignment, i.e. lesion localization with the SCOUT device 31 - 365 days prior to surgery. Each participant underwent the SAVI SCOUT Surgical Guidance System procedure.",所有研究参与者接受相同的治疗分配，即在手术前31 - 365天使用SCOUT设备定位病变。每位参与者都进行了SAVI SCOUT外科引导系统程序。,所有研究参与者接受相同的治疗分配，即在手术前31 - 365天使用SCOUT设备定位病变。每位参与者都进行了SAVI SCOUT外科引导系统程序。,"所有研究参与者均接受相同的治疗任务,即在手术前31至365天使用SCOUT设备进行病灶定位。每个参与者都接受了SAVISCOUT外科指导系统程序。","所有研究参与者都接受了相同的治疗任务,即在手术前31日至365天使用SCOUT设备进行损伤定位。","所有学习学员都接受同样的治疗任务,即手术前31天至365天使用SCOUT装置进行局部损伤,每位学员都接受了SAVI SCOUT外科指导系统程序。",所有受试者均接受相同的治疗方案，即在手术前31-365天内使用SCOUT设备进行病变定位。所有受试者均接受SAVI SCOUT手术导航系统。,,,,,,,
,,,,,,,,,,,,,,,
NCT03015649.json,Eligibility,Patient is willing and able to comply with all study procedures and be available to follow-up for the duration of the study (1 - 13 months).,患者愿意并能够遵守所有研究程序，并在研究期间（1 - 13个月）持续可追踪,患者愿意并能够遵守所有研究程序，并在研究期间（1 - 13个月）持续可追踪,"患者愿意和能够遵守所有研究程序,并且在研究期间(1-13个月)可以进行后续行动。","患者愿意和能够遵守所有研究程序,并可在研究期间(1 - 13个月)进行后续研究。","病人愿意并能够遵守所有学习程序,在学习期间(1至13个月)可以采取后续行动。",患者愿意并能够遵守所有研究方案，且能够完成整个研究期间的随访(1～13个月)。,,,,,,,
,,,,,,,,,,,,,,,
